168,詹大方,子,7146,詹靖之,
169,詹度,父,13351,詹文,
169,詹度,妻子,49886,王氏(詹度妻),
169,詹度,妻子,49887,劉氏(詹度妻),
170,詹彥弓,父,14962,詹默,
171,詹棫,父,13338,詹安,
171,詹棫,兄弟,13339,詹至,
176,張常先,父,8018,張叔夜,
181,張誠一,父,8009,張耆,
182,張祁,子,3144,張孝祥,
182,張祁,兄,7163,張邵,
182,張祁,父,13578,張幾,
182,張祁,女兒,37259,張法言,
183,張齊賢,父,13601,張兾,
183,張齊賢,母,119436,孫氏(張齊賢母),據宋史列傳CBDB宋史分傳#294
185,張去華,子,282,張師顏,
185,張去華,父,13673,張誼,
185,張去華,子,13674,張師錫,
185,張去華,子,13675,張師皋,
185,張去華,子,13676,張師古,
185,張去華,子,26518,張師雄,
185,張去華,女兒,39731,張氏(向敏中妻),
186,張去惑,父,20689,張希顏,
192,張正中,父,7149,張昭允,
193,張佶,子,304,張宗象,
193,張佶,父,3139,張昉,
195,張吉甫,父,11666,張汝士,
196,張繼能,子,13973,張懷忠,
196,張繼能,父,46949,張贊,據宋史列傳CBDB宋史分傳#2103
197,張頡,兄,331,張顒,
198,張鑑,父,12426,張裔,
198,張鑑,子,12429,張士壽,
199,張植,妻子,46796,周氏(張植妻),
200,張知白,妻子,47164,王氏(張知白妻),
201,張致遠,兄,13713,張詡,
201,張致遠,父,47178,張默,
205,張景憲,父,280,張師德,
209,張巨,父,13678,張霖,
209,張巨,弟,13680,張序,
211,張浚,子,7164,張栻,
211,張浚,父,12396,張咸,
211,張浚,兄,12437,張滉,
211,張浚,妻子,46711,樂氏(張浚妻),
211,張浚,妻子,46712,宇文氏(張浚妻),
211,張浚,母,118938,某氏(張浚母),
213,張中庸,女兒,39499,張氏(向經妻),
214,張諤,子,269,張秉,
216,張諤,父,11705,張君奭,
217,張方平,父,3173,張堯卿,
218,張傅,父,24971,張成,
218,張傅,子,24972,張彭,
221,張顥,父,227,張孝純,
221,張顥,兄弟,323,張穎,
223,張錫,父,13738,張龜從,
225,張瓌,弟,301,張璪,
225,張瓌,父,13573,張方回,
226,張象中,子,306,張宗彝,
226,張象中,子,7170,張宗古,
226,張象中,父,13734,張昭易,
227,張孝純,子,221,張顥,
227,張孝純,子,323,張穎,
229,張詵,父,262,張沔,
229,張詵,兄,332,張詠,據宋史列傳CBDB宋史分傳#521
234,張峋,弟,11707,張崏,
237,張徽,弟,13922,張徹,
245,張若谷,子,3150,張奎,
247,張汝賢,兄弟,3149,張汝明,
248,張康國,父,275,張升卿,
248,張康國,兄,13732,張康伯,
249,張可久,父,8013,張宏,
250,張奎,子,298,張燾,
250,張奎,父,11700,張餘慶,
250,張奎,弟,11701,張亢,
252,張綱,父,13771,張翱,
255,張根,妻子,5390,黃氏(張根妻),
255,張根,弟,13669,張樸,
255,張根,弟,119939,張檏,據宋史列傳CBDB宋史分傳#1077
257,張鞏,父,3135,張君平,
258,張公濟,父,27019,張蒭,
259,張綸,父,13986,張煦,
261,張美,子,119960,張守瑛,據宋史列傳CBDB宋史分傳#236
262,張沔,妻子,5012,魏氏(張沔妻),
262,張沔,父,12417,張,
264,張嵲,父,21988,張D,
264,張嵲,母,46837,駱氏(張嵲母),
264,張嵲,子,119942,張昌時,據宋史列傳CBDB宋史分傳#1705
267,張保雍,父,3127,張制,
267,張保雍,子,7173,張彥博,
268,張佖,子,318,張昷之,
268,張佖,父,12247,張璆,
269,張秉,父,214,張諤,
271,張掞,弟,3151,張揆,
271,張掞,父,3180,張蘊,
272,張商英,父,10220,張文蔚,
272,張商英,兄,10221,張唐英,
273,張紳,父,13793,張從質,
275,張升卿,妻子,5413,錢氏(張升卿妻),
275,張升卿,兄,7167,張挺卿,
275,張升卿,父,7170,張宗古,
275,張升卿,子,47214,張康伯,
279,張士遜,父,12423,張廷朗,
280,張師德,父,185,張去華,
280,張師德,兄弟,282,張師顏,
280,張師德,子,119968,張中憲,據宋史列傳CBDB宋史分傳#660
282,張師顏,父,185,張去華,
282,張師顏,兄弟,280,張師德,
286,張塾,父,205,張景憲,
288,張叔椿,父,174,張闡,
289,張叔獻,子,312,張子華,
291,張舜民,父,11890,張程,
291,張舜民,子,11891,張居,
291,張舜民,子,38768,張氏(司馬朴妻),
295,張唐民,父,3161,張思,
295,張唐民,兄,13972,張唐卿,
298,張燾,父,250,張奎,
299,張存,父,13765,張文質,
301,張璪,兄,225,張瓌,
301,張璪,父,13573,張方回,
302,張澤,兄,12677,張澈,
304,張宗象,父,193,張佶,
305,張宗誨,父,183,張齊賢,
305,張宗誨,弟,3167,張宗簡,據宋史列傳CBDB宋史分傳#294
305,張宗誨,弟,13602,張宗理,據宋史列傳CBDB宋史分傳#294
305,張宗誨,弟,13603,張宗諒,據宋史列傳CBDB宋史分傳#294
306,張宗彝,父,226,張象中,
308,張宗元,父,47138,張澤,
308,張宗元,母,47139,田氏(張澤妻),
310,張洞,父,14004,張惟簡,
311,張次山,父,318,張昷之,
311,張次山,兄弟,7016,張次元,
312,張子華,父,289,張叔獻,
315,張琬,父,8016,張昇,
315,張琬,妻子,36888,范氏(張琬妻),
315,張琬,妻子,46790,范氏(張琬妻),
316,郭思,子,961,郭游卿,
316,郭思,父,19509,郭熙,
316,郭思,子,19510,郭道卿,
317,張問,子,119965,張古,據宋史列傳CBDB宋史分傳#849
318,張昷之,父,268,張佖,
318,張昷之,女兒,41954,張氏(呂希哲妻),
318,張昷之,父,119932,張秘,據宋史列傳CBDB宋史分傳#627
321,張堯佐,弟,13963,張堯封,
321,張堯佐,子,13964,張山甫,
323,張穎,兄弟,221,張顥,
323,張穎,父,227,張孝純,
325,張宇,父,3174,張彥直,
325,張宇,弟,8017,張守,
326,張友直,父,279,張士遜,
326,張友直,弟,12424,張友正,
328,張元方,父,7011,張諷,
